Time,x-axis,y-axis,z-axis
0.603,0.621,0.771,-0.161
0.711,0.62,0.772,-0.159
0.824,0.621,0.772,-0.159
0.932,0.62,0.772,-0.159
1.04,0.622,0.773,-0.159
1.151,0.623,0.772,-0.159
1.257,0.622,0.772,-0.159
1.373,0.621,0.77,-0.159
1.478,0.621,0.771,-0.159
1.588,0.621,0.771,-0.16
1.698,0.621,0.772,-0.159
1.804,0.622,0.771,-0.16
1.915,0.621,0.772,-0.159
2.023,0.621,0.771,-0.159
2.135,0.623,0.771,-0.16
2.242,0.622,0.771,-0.161
2.352,0.621,0.772,-0.161
2.464,0.622,0.771,-0.161
2.573,0.621,0.771,-0.159
2.679,0.621,0.773,-0.16
2.789,0.621,0.77,-0.159
2.898,0.621,0.772,-0.159
3.008,0.621,0.771,-0.158
3.118,0.621,0.771,-0.159
3.229,0.623,0.771,-0.158
3.339,0.62,0.77,-0.16
3.445,0.62,0.771,-0.162
3.554,0.623,0.771,-0.16
3.663,0.623,0.771,-0.159
3.773,0.621,0.771,-0.161
3.883,0.622,0.772,-0.159
3.992,0.621,0.771,-0.159
4.103,0.621,0.771,-0.159
4.211,0.621,0.771,-0.159
4.321,0.622,0.771,-0.159
4.431,0.621,0.772,-0.158
4.538,0.621,0.771,-0.159
4.648,0.622,0.771,-0.159
4.758,0.622,0.771,-0.159
4.868,0.622,0.771,-0.159
4.978,0.621,0.771,-0.159
5.085,0.622,0.771,-0.16
5.195,0.623,0.771,-0.16
5.305,0.621,0.771,-0.159
5.413,0.622,0.772,-0.159
5.523,0.622,0.772,-0.16
5.633,0.621,0.771,-0.159
5.743,0.621,0.772,-0.159
5.851,0.622,0.772,-0.158
5.963,0.621,0.771,-0.159
6.07,0.621,0.772,-0.159
6.182,0.62,0.771,-0.158
6.29,0.621,0.771,-0.159
6.398,0.623,0.772,-0.159
6.507,0.622,0.771,-0.159
6.618,0.622,0.771,-0.159
6.729,0.621,0.772,-0.158
6.838,0.621,0.772,-0.158
6.945,0.621,0.773,-0.157
7.055,0.621,0.772,-0.157
7.165,0.621,0.773,-0.157
7.275,0.621,0.773,-0.156
7.383,0.621,0.772,-0.156
7.493,0.621,0.773,-0.157
7.603,0.622,0.773,-0.158
7.71,0.622,0.773,-0.157
7.819,0.621,0.772,-0.159
7.929,0.621,0.772,-0.158
8.039,0.622,0.772,-0.157
8.15,0.622,0.771,-0.158
8.258,0.622,0.77,-0.158
8.369,0.623,0.771,-0.157
8.476,0.623,0.77,-0.157
8.585,0.622,0.771,-0.158
8.694,0.623,0.771,-0.159
8.807,0.622,0.771,-0.159
8.914,0.623,0.769,-0.158
9.025,0.623,0.768,-0.159
9.132,0.623,0.77,-0.161
9.245,0.623,0.77,-0.16
9.354,0.622,0.77,-0.16
9.461,0.622,0.771,-0.162
9.57,0.623,0.77,-0.16
9.68,0.624,0.769,-0.16
9.791,0.622,0.769,-0.162
9.898,0.623,0.77,-0.161
10.009,0.624,0.77,-0.162
10.117,0.622,0.769,-0.162
10.228,0.622,0.77,-0.161
10.339,0.623,0.769,-0.161
10.445,0.622,0.77,-0.161
10.555,0.623,0.77,-0.162
10.663,0.623,0.77,-0.163
10.776,0.623,0.771,-0.162
10.883,0.622,0.77,-0.162
10.993,0.624,0.772,-0.162
11.103,0.621,0.771,-0.161
11.213,0.62,0.771,-0.161
11.32,0.622,0.771,-0.162
11.433,0.62,0.771,-0.162
11.538,0.62,0.771,-0.162
11.647,0.621,0.771,-0.161
11.758,0.618,0.772,-0.159
11.869,0.618,0.772,-0.161
11.976,0.62,0.771,-0.161
12.088,0.62,0.771,-0.16
12.198,0.619,0.771,-0.159
12.305,0.619,0.772,-0.158
12.413,0.619,0.773,-0.159
12.523,0.62,0.774,-0.158
12.633,0.618,0.774,-0.158
12.743,0.619,0.774,-0.158
