time,x-axis,y-axis,z-axis
0.007127,0.0465,-0.361,-0.1726
0.024505,0.0261,-0.1842,-0.3461
0.041392,0.2732,-0.1593,-0.0883
0.058231,0.3686,-0.0313,0.1624
0.079112,0.6766,-0.0699,0.4367
0.092267,0.7625,-0.1287,0.8186
0.109344,0.6878,-0.0078,1.1243
0.126465,0.8475,0.1377,1.217
0.143422,0.9716,0.2584,1.1242
0.160639,0.876,0.3894,0.9166
0.177969,0.6988,0.3716,0.877
0.195245,0.665,0.2245,0.5636
0.211683,0.4969,0.1953,0.1615
0.228971,0.3663,0.1149,-0.1588
0.24619,0.3734,-0.0029,-0.368
0.262976,0.279,-0.0308,-0.4416
0.28013,0.2189,-0.0873,-0.296
0.297123,0.1974,-0.248,-0.0012
0.315034,0.1895,-0.3801,0.2465
0.33111,0.0205,-0.4224,0.3488
0.348208,-0.0425,-0.431,0.3844
0.365527,-0.0059,-0.4556,0.3799
0.382543,0.0024,-0.4619,0.4019
0.400182,-0.0164,-0.4664,0.281
0.420158,-0.1579,-0.3605,0.1868
0.433699,-0.4094,-0.2092,-0.0267
0.450722,-0.6437,-0.1564,-0.3647
0.470797,-0.586,-0.2268,-0.8305
0.484623,-0.8067,-0.2885,-1.109
0.50259,-1.9126,0.5678,-1.9738
0.518327,-2.1457,-0.1009,-2.663
0.535718,-4.045,0.1627,-4.7904
0.552669,-3.7986,0.8416,-4.3536
0.569807,-4.5248,0.5547,-4.1436
0.586678,-4.4812,-0.2843,-4.6112
0.603708,-2.3044,-1.7741,-4.9182
0.62072,-3.1673,-3.2568,-5.601
0.637563,-4.4889,-2.6593,-4.1766
0.654991,-2.1653,-3.7979,-3.9715
0.671727,-2.0723,-6.0376,-4.1305
0.688894,-1.6476,-6.208,-7.1585
0.707784,-0.4834,-5.9447,-4.0095
0.723087,0.9076,-6.9259,-2.7398
0.739907,2.3717,-9.9393,-0.8547
0.758462,3.7806,-12.3995,-1.6548
0.775552,5.0259,-12.2499,-2.1328
0.790649,5.2604,-11.426,-1.2417
0.807677,3.9562,-12.6641,0.4187
0.825003,0.713,-11.7962,4.1398
0.842148,-5.0276,-9.8577,6.9507
0.859073,-11.8015,-5.1064,6.6597
0.876319,-16.3407,1.6811,4.0555
0.893039,-19.7984,10.4404,2.9741
0.910108,-20.0343,14.9744,0.9866
0.92705,-18.5237,14.9713,-3.5652
0.944081,-13.961,12.3883,-7.9721
0.9612,-7.7541,8.7319,-13.8031
0.978285,-4.4617,5.338,-10.9285
0.995677,-2.7337,4.4774,-7.6126
1.012365,-0.3157,3.0207,-8.7217
1.02946,0.6148,3.4676,-8.0611
1.046411,0.3368,5.7713,-4.4449
1.063459,1.9299,2.9993,-1.5876
1.081034,5.2186,-2.8416,0.6152
1.09758,5.9409,-4.8467,2.1359
1.11454,5.1623,-3.1881,1.5164
1.131778,3.6225,-1.8563,1.2924
1.148717,4.111,-1.9065,0.3738
1.169876,4.167,-2.0366,-0.214
1.183163,2.6097,-2.6814,0.134
1.200073,0.167,-2.1595,0.0333
1.217363,-3.9749,-0.6168,0.0694
1.233936,-6.3927,2.1299,0.2206
1.252022,-3.9607,-1.2231,0.7522
1.269075,-3.5453,-2.2213,3.6531
1.285688,-0.9944,-2.6195,2.8057
1.302008,0.4514,-1.9179,2.2552
1.319089,1.8118,-0.2205,-0.3859
1.336574,2.8167,0.6577,-1.6188
1.353044,3.9288,2.016,-0.3334
1.36994,7.0372,7.2095,-7.2527
1.391963,-3.3936,0.3214,1.8706
1.404739,-0.1191,6.5066,1.3587
1.421157,-1.1789,1.0222,3.302
1.437937,-0.6602,-0.4773,3.128
1.455271,-0.4712,-0.7235,2.3993
1.472014,-1.6629,0.2104,0.7585
1.489339,-2.5637,1.246,-1.5044
1.506167,-3.7194,1.8344,-0.9464
1.52358,-3.9745,1.7287,-0.4283
1.540145,-4.2548,1.1403,0.5652
1.557475,-3.9099,-0.211,0.544
1.575383,-3.0799,-2.2453,0.1072
1.591359,-3.2492,-2.111,-1.165
1.608328,-3.4033,-0.4927,-1.982
1.625985,-1.9618,-0.0725,-0.7111
1.642619,-2.8803,-0.5148,-1.7364
1.6595,-2.0966,-1.8484,-0.7195
1.676867,-0.9323,-1.8722,-0.2909
1.693802,-0.2497,-1.6965,-1.3396
1.710736,-2.1391,-1.6033,-5.5455
1.727477,-3.263,-2.9478,-4.7586
1.745413,-6.0706,-3.8418,-2.859
1.761981,-7.8705,-3.8162,-1.3867
1.779434,-6.6569,-7.5373,-1.6783
1.796643,-6.2332,-11.6964,-1.4821
1.813425,-9.2431,-12.6127,-0.1222
1.830361,-11.4856,-8.1623,-0.5366
1.847225,-8.4218,-4.5084,-1.5608
1.864828,-2.3749,-3.1166,-0.5348
1.881511,3.8966,-1.3572,0.0536
1.898671,10.2723,2.103,-0.6165
1.915781,13.3536,5.5767,0.3914
1.932258,9.6409,9.6361,2.0869
1.949109,4.9974,12.8979,2.9645
1.966477,0.3234,15.033,1.3261
1.983698,-2.6094,15.6104,4.3016
2.000047,-0.9118,11.8748,3.9183
2.017484,1.2371,7.1728,6.1151
2.034282,3.2244,5.9854,3.5272
2.051111,3.427,7.2151,3.3753
2.06827,3.8582,7.3302,3.6729
2.085778,3.1999,7.8174,4.5639
2.10245,3.032,8.0096,3.0559
2.119383,4.0317,7.5211,4.4832
2.136497,4.5211,7.5666,3.9273
2.15352,4.3253,7.807,3.2655
2.170522,3.8507,8.0716,3.1416
2.187718,3.4185,7.4746,3.1636
2.20589,2.4407,6.0107,3.2733
2.221648,2.437,3.2611,2.8225
2.23879,-1.9702,-0.2383,-8.0447
2.25721,-7.1462,-10.4945,-1.9105
2.273578,-15.7402,-17.5858,-15.4876
2.290217,-11.2491,-18.8835,7.1906
2.306927,-9.263,-16.2141,-20.5811
2.32473,-7.8871,-10.224,-3.1409
2.341133,-3.8389,-7.1129,-1.4865
2.361259,-2.2759,-4.084,-1.8065
2.377139,-4.3485,-2.1199,1.3256
2.391988,-4.9824,-0.5774,0.113
2.40985,-3.2802,0.0865,0.0585
2.426504,-0.8795,0.145,-1.9249
2.443568,2.1061,1.1027,-3.1452
2.460977,1.7767,1.3788,-0.2256
2.478465,2.8947,1.1304,1.9126
2.494647,4.5812,1.707,1.1798
2.511762,3.5896,2.8193,0.2288
2.528621,3.0678,4.0527,-0.5659
2.546455,3.9488,4.9354,-1.3434
2.562981,0.7421,2.3126,-1.8431
2.580209,-1.1683,4.2687,-1.7881
2.596614,-2.9582,3.1971,-1.9548
2.613821,-4.8395,0.8424,1.9503
2.630644,-4.3244,-1.3775,2.41
2.647609,-2.2239,0.1663,1.363
2.665057,-0.616,3.0916,0.8752
2.681735,0.2086,1.4036,0.0382
2.699389,1.086,-0.6492,1.3283
2.716599,0.0043,0.5357,3.2964
2.733518,-0.2272,0.8677,4.1735
2.750243,-0.7106,0.5467,4.124
2.767165,-0.3832,-0.012,3.1634
2.786369,0.4155,-0.2645,1.261
2.800652,1.477,-0.8076,-0.6853
2.818499,-0.3291,-0.2096,-1.7365
2.83521,-0.4799,-0.3403,-0.8428
2.852169,-0.6116,-0.0755,-0.6339
2.869005,-2.2503,-1.952,-4.3651
2.885968,-4.3946,-5.7443,-6.96
2.903292,-6.2019,-7.5212,-6.0206
2.920034,-6.6854,-5.9011,-5.1681
2.937081,-9.1825,-4.8052,-4.1447
2.954189,-7.43,-4.8255,-5.9516
2.971081,-9.1614,-6.3902,-4.3421
